Round Number,Date,Location,Home Team,Away Team,Result
7,24/02/2021 07:00,Gila River Arena,Arizona Coyotes,Anaheim Ducks,
7,24/02/2021 08:00,Wells Fargo Center,Philadelphia Flyers,New York Rangers,
7,24/02/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Calgary Flames,
7,25/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Montréal Canadiens,
7,25/02/2021 07:00,Gila River Arena,Arizona Coyotes,Colorado Avalanche,
7,25/02/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Boston Bruins,
7,25/02/2021 08:00,Capital One Arena,Washington Capitals,Pittsburgh Penguins,
7,25/02/2021 08:00,Amalie Arena,Tampa Bay Lightning,Carolina Hurricanes,
7,25/02/2021 08:00,BB&T Center,Florida Panthers,Dallas Stars,
7,25/02/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Chicago Blackhawks,
7,25/02/2021 08:00,Little Caesars Arena,Detroit Red Wings,Nashville Predators,
7,25/02/2021 08:00,Canadian Tire Centre,Ottawa Senators,Calgary Flames,
7,25/02/2021 08:00,Rogers Arena,Vancouver Canucks,Edmonton Oilers,
7,26/02/2021 06:00,Xcel Energy Center,Minnesota Wild,Los Angeles Kings,
7,26/02/2021 08:00,KeyBank Center,Buffalo Sabres,Philadelphia Flyers,
7,26/02/2021 08:00,Madison Square Garden,New York Rangers,Boston Bruins,
7,26/02/2021 08:00,Honda Center,Anaheim Ducks,Vegas Golden Knights,
7,26/02/2021 08:00,SAP Center at San Jose,San Jose Sharks,St. Louis Blues,
7,27/02/2021 06:00,United Center,Chicago Blackhawks,Detroit Red Wings,
7,27/02/2021 06:00,Bridgestone Arena,Nashville Predators,Columbus Blue Jackets,
7,27/02/2021 06:00,Bell MTS Place,Winnipeg Jets,Montréal Canadiens,
7,27/02/2021 06:00,Xcel Energy Center,Minnesota Wild,Los Angeles Kings,
7,27/02/2021 07:00,Rogers Place,Edmonton Oilers,Toronto Maple Leafs,
